TXN-2024-003,Gamma Solutions,Consulting,78900.00,2024-01-17,Sarah Chen,North America,Enterprise,ACH,10.0
TXN-2024-006,Zeta Systems,Software,156000.00,2024-01-20,James Wilson,North America,Enterprise,Wire Transfer,15.0
TXN-2024-010,Kappa LLC,Consulting,91200.75,2024-01-24,James Wilson,North America,Enterprise,Wire Transfer,12.0
TXN-2024-013,Nu Technologies,Consulting,76800.25,2024-01-27,Mike Rodriguez,Europe,Enterprise,Wire Transfer,9.0
TXN-2024-015,Omicron LLC,Software,128900.00,2024-01-29,Lisa Park,Asia Pacific,Enterprise,Wire Transfer,18.0
TXN-2024-018,Sigma Corp,Software,89700.75,2024-02-01,James Wilson,North America,Enterprise,Wire Transfer,11.0
TXN-2024-021,Phi Corp,Software,176500.25,2024-02-04,Mike Rodriguez,Europe,Enterprise,Wire Transfer,20.0
TXN-2024-024,Omega Technologies,Software,134600.50,2024-02-07,Sarah Chen,North America,Enterprise,ACH,16.0
TXN-2024-026,Nexus Corp,Software,92300.75,2024-02-09,Sarah Chen,North America,Mid-Market,Credit Card,6.5
TXN-2024-028,Matrix Systems,Consulting,105600.25,2024-02-11,James Wilson,North America,Enterprise,Wire Transfer,14.0
